elapsed_s,stage,epoch,step,split,loss,ppl,lr,grad_norm,tokens_per_sec,gpu_mem_gb
46.4,stage1_scratch,0,0,train,1.7327,,0.0002999999999999999,0.0,0,17.9
46.4,stage1_scratch,0,0,val,1.7671,5.85,,,,
56.1,stage1_scratch,0,1,train,1.8058,,0.00023249999999999996,2.465,9130,44.8
56.1,stage1_scratch,0,1,val,1.3806,3.98,,,,
66.4,stage1_scratch,1,2,train,1.4089,,9.750000000000001e-05,0.904,5553,50.4
66.4,stage1_scratch,1,2,val,1.2356,3.44,,,,
78.6,stage1_scratch,2,3,train,1.34,,2.9999999999999997e-05,0.418,4697,50.4
78.6,stage1_scratch,2,3,val,1.2098,3.35,,,,
81.7,stage1_scratch,2,3,train,nan,,2.9999999999999997e-05,0.418,18509,50.4
81.7,stage1_scratch,2,3,val,1.2098,3.35,,,,
98.6,stage2_self_instruct,0,0,train,2.2515,,4.9999999999999996e-05,0.0,0,50.4
98.6,stage2_self_instruct,0,0,val,2.1793,8.84,,,,
260.8,stage2_self_instruct,0,20,train,1.6684,,0.00029687452289754604,0.188,7688,50.4
260.8,stage2_self_instruct,0,20,val,1.4495,4.26,,,,
432.3,stage2_self_instruct,0,40,train,1.3866,,0.00028191342951089924,0.182,6688,50.4
432.3,stage2_self_instruct,0,40,val,1.3387,3.81,,,,
602.7,stage2_self_instruct,0,60,train,1.3132,,0.0002559489118922852,0.156,6730,50.4
602.7,stage2_self_instruct,0,60,val,1.2845,3.61,,,,
771.5,stage2_self_instruct,0,80,train,1.301,,0.00022142464655971572,0.174,6802,50.4
771.5,stage2_self_instruct,0,80,val,1.2542,3.51,,,,
941.5,stage2_self_instruct,0,100,train,1.2781,,0.00018158991923973637,0.158,6743,50.4
941.5,stage2_self_instruct,0,100,val,1.2287,3.42,,,,
1115.2,stage2_self_instruct,1,120,train,1.16,,0.00014019381509476297,0.155,6602,50.4
1115.3,stage2_self_instruct,1,120,val,1.2178,3.38,,,,
1282.2,stage2_self_instruct,1,140,train,1.1084,,0.00010113236982713865,0.151,6869,50.4
1282.3,stage2_self_instruct,1,140,val,1.2049,3.34,,,,
1452.8,stage2_self_instruct,1,160,train,1.0804,,6.808189038630033e-05,0.161,6725,50.4
1452.8,stage2_self_instruct,1,160,val,1.1963,3.31,,,,
1623.3,stage2_self_instruct,1,180,train,1.076,,4.4152955667066594e-05,0.139,6724,50.4
1623.3,stage2_self_instruct,1,180,val,1.1888,3.28,,,,
1793.4,stage2_self_instruct,1,200,train,1.1131,,3.159766126902998e-05,0.143,6736,50.4
1793.4,stage2_self_instruct,1,200,val,1.1842,3.27,,,,
1885.9,stage2_self_instruct,1,210,train,1.1164,,2.9999999999999997e-05,0.134,6212,50.4
1885.9,stage2_self_instruct,1,210,val,1.1827,3.26,,,,
1924.5,stage3_tulu,0,0,train,1.9759,,1.1904761904761904e-06,0.0,0,50.4
1924.5,stage3_tulu,0,0,val,2.0196,7.54,,,,
3526.7,stage3_tulu,0,200,train,1.3805,,0.00023928571428571426,0.121,7297,50.4
3526.7,stage3_tulu,0,200,val,1.1802,3.25,,,,
5130.4,stage3_tulu,0,400,train,1.1335,,0.0002997818698249314,0.131,7151,50.4
5130.4,stage3_tulu,0,400,val,1.0881,2.97,,,,
6737.3,stage3_tulu,0,600,train,1.085,,0.0002987954609008953,0.117,7137,50.4
6737.3,stage3_tulu,0,600,val,1.0441,2.84,,,,
