elapsed_s,stage,epoch,step,split,loss,ppl,lr,grad_norm,tokens_per_sec,gpu_mem_gb
42.1,stage1_scratch,0,0,train,1.7175,,0.0002999999999999999,0.0,0,17.9
42.1,stage1_scratch,0,0,val,1.7012,5.48,,,,
52.2,stage1_scratch,0,1,train,1.7683,,0.00023249999999999996,3.433,9120,44.8
52.2,stage1_scratch,0,1,val,1.3797,3.97,,,,
62.5,stage1_scratch,1,2,train,1.4017,,9.750000000000001e-05,2.17,5599,50.4
62.5,stage1_scratch,1,2,val,1.1789,3.25,,,,
75.3,stage1_scratch,2,3,train,1.257,,2.9999999999999997e-05,0.768,4461,50.4
75.3,stage1_scratch,2,3,val,1.137,3.12,,,,
78.4,stage1_scratch,2,3,train,nan,,2.9999999999999997e-05,0.768,18557,50.4
78.4,stage1_scratch,2,3,val,1.137,3.12,,,,
94.6,stage2_self_instruct,0,0,train,1.9507,,4.9999999999999996e-05,0.0,0,50.4
94.6,stage2_self_instruct,0,0,val,1.8714,6.5,,,,
260.0,stage2_self_instruct,0,20,train,1.4363,,0.00029687452289754604,0.184,7526,50.4
260.0,stage2_self_instruct,0,20,val,1.2664,3.55,,,,
435.2,stage2_self_instruct,0,40,train,1.2192,,0.00028191342951089924,0.169,6547,50.4
435.2,stage2_self_instruct,0,40,val,1.1823,3.26,,,,
609.5,stage2_self_instruct,0,60,train,1.1511,,0.0002559489118922852,0.144,6579,50.4
609.5,stage2_self_instruct,0,60,val,1.1401,3.13,,,,
781.2,stage2_self_instruct,0,80,train,1.1543,,0.00022142464655971572,0.174,6680,50.4
781.2,stage2_self_instruct,0,80,val,1.1183,3.06,,,,
955.2,stage2_self_instruct,0,100,train,1.1318,,0.00018158991923973637,0.145,6598,50.4
955.2,stage2_self_instruct,0,100,val,1.096,2.99,,,,
1133.7,stage2_self_instruct,1,120,train,1.0104,,0.00014019381509476297,0.151,6416,50.4
1133.7,stage2_self_instruct,1,120,val,1.0899,2.97,,,,
1304.5,stage2_self_instruct,1,140,train,0.9633,,0.00010113236982713865,0.146,6725,50.4
1304.5,stage2_self_instruct,1,140,val,1.0804,2.95,,,,
1478.4,stage2_self_instruct,1,160,train,0.941,,6.808189038630033e-05,0.141,6590,50.4
1478.4,stage2_self_instruct,1,160,val,1.0674,2.91,,,,
1652.0,stage2_self_instruct,1,180,train,0.9366,,4.4152955667066594e-05,0.139,6601,50.4
1652.0,stage2_self_instruct,1,180,val,1.0647,2.9,,,,
1825.6,stage2_self_instruct,1,200,train,0.9655,,3.159766126902998e-05,0.139,6605,50.4
1825.6,stage2_self_instruct,1,200,val,1.0595,2.88,,,,
1920.4,stage2_self_instruct,1,210,train,0.978,,2.9999999999999997e-05,0.131,6075,50.4
1920.4,stage2_self_instruct,1,210,val,1.0573,2.88,,,,
1958.2,stage3_tulu,0,0,train,1.8452,,1.1904761904761904e-06,0.0,0,50.4
1958.2,stage3_tulu,0,0,val,1.8699,6.49,,,,
3598.6,stage3_tulu,0,200,train,1.2667,,0.00023928571428571426,0.156,7129,50.4
3598.6,stage3_tulu,0,200,val,1.0979,3.0,,,,
5228.9,stage3_tulu,0,400,train,1.055,,0.0002997818698249314,0.144,7033,50.4
5228.9,stage3_tulu,0,400,val,1.0171,2.77,,,,
6870.3,stage3_tulu,0,600,train,1.0127,,0.0002987954609008953,0.105,6986,50.4
6870.3,stage3_tulu,0,600,val,0.9781,2.66,,,,
8507.9,stage3_tulu,0,800,train,0.9791,,0.00029701965899564704,0.088,7004,50.4
8507.9,stage3_tulu,0,800,val,0.951,2.59,,,,
10143.4,stage3_tulu,0,1000,train,0.9437,,0.0002944649413372675,0.107,7012,50.4
10143.4,stage3_tulu,0,1000,val,0.9357,2.55,,,,
11778.4,stage3_tulu,0,1200,train,0.9282,,0.0002911463807553946,0.122,7016,50.4
11778.4,stage3_tulu,0,1200,val,0.9187,2.51,,,,
13421.8,stage3_tulu,0,1400,train,0.9296,,0.0002870835567515557,0.079,6978,50.4
13421.8,stage3_tulu,0,1400,val,0.906,2.47,,,,
15074.8,stage3_tulu,0,1600,train,0.9021,,0.00028230043998014333,0.099,6941,50.4
15074.8,stage3_tulu,0,1600,val,0.9015,2.46,,,,
16711.9,stage3_tulu,0,1800,train,0.8904,,0.00027682525082159664,0.079,7002,50.4
16711.9,stage3_tulu,0,1800,val,0.8872,2.43,,,,
18325.1,stage3_tulu,0,2000,train,0.8758,,0.0002706902928822074,0.073,7108,50.4
18325.1,stage3_tulu,0,2000,val,0.8775,2.4,,,,
19950.8,stage3_tulu,0,2200,train,0.8892,,0.00026393176240290027,0.084,7054,50.4
19950.8,stage3_tulu,0,2200,val,0.8695,2.39,,,,
21570.6,stage3_tulu,0,2400,train,0.8608,,0.00025658953470147547,0.094,7081,50.4
21570.6,stage3_tulu,0,2400,val,0.8622,2.37,,,,
23193.8,stage3_tulu,0,2600,train,0.85,,0.0002487069289083053,0.072,7065,50.4
23193.8,stage3_tulu,0,2600,val,0.8558,2.35,,,,
24809.5,stage3_tulu,0,2800,train,0.8571,,0.00024033045238354157,0.076,7097,50.4
24809.5,stage3_tulu,0,2800,val,0.8503,2.34,,,,
26428.4,stage3_tulu,0,3000,train,0.8376,,0.0002315095263237734,0.105,7084,50.4
26428.4,stage3_tulu,0,3000,val,0.8444,2.33,,,,
28057.7,stage3_tulu,0,3200,train,0.8777,,0.0002222961941770557,0.095,7042,50.4
