elapsed_s,stage,epoch,step,split,loss,ppl,lr,grad_norm,tokens_per_sec,gpu_mem_gb
288.1,stage1_scratch,0,0,train,1.8386,,0.0002999999999999999,0.0,0,17.9
288.1,stage1_scratch,0,0,val,1.8287,6.23,,,,
300.0,stage1_scratch,0,1,train,1.8602,,0.00023249999999999996,3.675,9153,44.8
300.0,stage1_scratch,0,1,val,1.4392,4.22,,,,
310.1,stage1_scratch,1,2,train,1.445,,9.750000000000001e-05,2.489,5644,50.4
310.2,stage1_scratch,1,2,val,1.2164,3.37,,,,
319.5,stage1_scratch,2,3,train,1.3074,,2.9999999999999997e-05,0.731,6165,50.4
319.5,stage1_scratch,2,3,val,1.1751,3.24,,,,
323.1,stage1_scratch,2,3,train,nan,,2.9999999999999997e-05,0.731,15691,50.4
323.1,stage1_scratch,2,3,val,1.1751,3.24,,,,
364.0,stage2_self_instruct,0,0,train,2.0108,,4.9999999999999996e-05,0.0,0,50.4
364.0,stage2_self_instruct,0,0,val,1.9098,6.75,,,,
524.8,stage2_self_instruct,0,20,train,1.4661,,0.00029687452289754604,0.204,7716,50.4
524.8,stage2_self_instruct,0,20,val,1.2961,3.66,,,,
694.7,stage2_self_instruct,0,40,train,1.2459,,0.00028191342951089924,0.17,6751,50.4
694.7,stage2_self_instruct,0,40,val,1.2106,3.36,,,,
860.0,stage2_self_instruct,0,60,train,1.1803,,0.0002559489118922852,0.163,6944,50.4
860.0,stage2_self_instruct,0,60,val,1.1656,3.21,,,,
1028.9,stage2_self_instruct,0,80,train,1.1824,,0.00022142464655971572,0.181,6788,50.4
1028.9,stage2_self_instruct,0,80,val,1.1408,3.13,,,,
1196.6,stage2_self_instruct,0,100,train,1.1554,,0.00018158991923973637,0.152,6834,50.4
1196.6,stage2_self_instruct,0,100,val,1.1208,3.07,,,,
1366.6,stage2_self_instruct,1,120,train,1.0381,,0.00014019381509476297,0.154,6754,50.4
1366.6,stage2_self_instruct,1,120,val,1.113,3.04,,,,
1533.9,stage2_self_instruct,1,140,train,0.9901,,0.00010113236982713865,0.141,6851,50.4
1533.9,stage2_self_instruct,1,140,val,1.1032,3.01,,,,
1701.3,stage2_self_instruct,1,160,train,0.9651,,6.808189038630033e-05,0.146,6850,50.4
1701.3,stage2_self_instruct,1,160,val,1.0916,2.98,,,,
1866.4,stage2_self_instruct,1,180,train,0.9608,,4.4152955667066594e-05,0.131,6948,50.4
1866.4,stage2_self_instruct,1,180,val,1.0882,2.97,,,,
2033.1,stage2_self_instruct,1,200,train,0.9929,,3.159766126902998e-05,0.145,6881,50.4
2033.1,stage2_self_instruct,1,200,val,1.0837,2.96,,,,
2124.5,stage2_self_instruct,1,210,train,1.0033,,2.9999999999999997e-05,0.131,6280,50.4
2124.5,stage2_self_instruct,1,210,val,1.0801,2.94,,,,
2184.0,stage3_tulu,0,0,train,1.8387,,1.1904761904761904e-06,0.0,0,50.4
2184.0,stage3_tulu,0,0,val,1.8593,6.42,,,,
3761.4,stage3_tulu,0,200,train,1.2756,,0.00023928571428571426,0.155,7413,50.4
3761.4,stage3_tulu,0,200,val,1.1055,3.02,,,,
5346.3,stage3_tulu,0,400,train,1.0747,,0.0002997818698249314,0.114,7236,50.4
5346.3,stage3_tulu,0,400,val,1.0314,2.8,,,,
6962.6,stage3_tulu,0,600,train,1.0245,,0.0002987954609008953,0.106,7096,50.4
6962.6,stage3_tulu,0,600,val,0.9891,2.69,,,,
8562.3,stage3_tulu,0,800,train,0.991,,0.00029701965899564704,0.099,7170,50.4
8562.3,stage3_tulu,0,800,val,0.9636,2.62,,,,
10158.6,stage3_tulu,0,1000,train,0.9512,,0.0002944649413372675,0.094,7184,50.4
10158.6,stage3_tulu,0,1000,val,0.9455,2.57,,,,
11776.4,stage3_tulu,0,1200,train,0.9381,,0.0002911463807553946,0.11,7089,50.4
11776.5,stage3_tulu,0,1200,val,0.9296,2.53,,,,
13359.1,stage3_tulu,0,1400,train,0.9398,,0.0002870835567515557,0.08,7248,50.4
13359.1,stage3_tulu,0,1400,val,0.9155,2.5,,,,
14975.6,stage3_tulu,0,1600,train,0.9096,,0.00028230043998014333,0.077,7093,50.4
14975.6,stage3_tulu,0,1600,val,0.9051,2.47,,,,
16554.0,stage3_tulu,0,1800,train,0.8988,,0.00027682525082159664,0.098,7267,50.4
16554.0,stage3_tulu,0,1800,val,0.8957,2.45,,,,
18135.9,stage3_tulu,0,2000,train,0.8851,,0.0002706902928822074,0.081,7250,50.4
18135.9,stage3_tulu,0,2000,val,0.8875,2.43,,,,
19747.8,stage3_tulu,0,2200,train,0.9005,,0.00026393176240290027,0.087,7114,50.4
19747.8,stage3_tulu,0,2200,val,0.8793,2.41,,,,
