elapsed_s,stage,epoch,step,split,loss,ppl,lr,grad_norm,tokens_per_sec,gpu_mem_gb
45.5,stage1_scratch,0,0,train,1.8912,,0.0002999999999999999,0.0,0,17.9
45.5,stage1_scratch,0,0,val,1.8534,6.38,,,,
55.1,stage1_scratch,0,1,train,1.9457,,0.00023249999999999996,3.354,9121,44.8
55.1,stage1_scratch,0,1,val,1.4289,4.17,,,,
65.3,stage1_scratch,1,2,train,1.488,,9.750000000000001e-05,1.85,5617,50.4
65.3,stage1_scratch,1,2,val,1.247,3.48,,,,
77.6,stage1_scratch,2,3,train,1.363,,2.9999999999999997e-05,0.587,4684,50.4
77.6,stage1_scratch,2,3,val,1.2147,3.37,,,,
80.7,stage1_scratch,2,3,train,nan,,2.9999999999999997e-05,0.587,18540,50.4
80.7,stage1_scratch,2,3,val,1.2147,3.37,,,,
96.9,stage2_self_instruct,0,0,train,2.18,,4.9999999999999996e-05,0.0,0,50.4
96.9,stage2_self_instruct,0,0,val,2.0958,8.13,,,,
259.0,stage2_self_instruct,0,20,train,1.5826,,0.00029687452289754604,0.199,7645,50.4
259.0,stage2_self_instruct,0,20,val,1.3838,3.99,,,,
431.6,stage2_self_instruct,0,40,train,1.3253,,0.00028191342951089924,0.16,6647,50.4
431.6,stage2_self_instruct,0,40,val,1.2834,3.61,,,,
601.7,stage2_self_instruct,0,60,train,1.2545,,0.0002559489118922852,0.158,6736,50.4
601.7,stage2_self_instruct,0,60,val,1.236,3.44,,,,
770.2,stage2_self_instruct,0,80,train,1.2503,,0.00022142464655971572,0.247,6812,50.4
770.2,stage2_self_instruct,0,80,val,1.2058,3.34,,,,
940.5,stage2_self_instruct,0,100,train,1.2281,,0.00018158991923973637,0.153,6737,50.4
940.5,stage2_self_instruct,0,100,val,1.1841,3.27,,,,
1115.4,stage2_self_instruct,1,120,train,1.1072,,0.00014019381509476297,0.164,6553,50.4
1115.4,stage2_self_instruct,1,120,val,1.1754,3.24,,,,
1283.1,stage2_self_instruct,1,140,train,1.0588,,0.00010113236982713865,0.155,6847,50.4
1283.1,stage2_self_instruct,1,140,val,1.1623,3.2,,,,
1454.1,stage2_self_instruct,1,160,train,1.0322,,6.808189038630033e-05,0.159,6707,50.4
1454.1,stage2_self_instruct,1,160,val,1.1526,3.17,,,,
1624.3,stage2_self_instruct,1,180,train,1.0283,,4.4152955667066594e-05,0.141,6731,50.4
1624.3,stage2_self_instruct,1,180,val,1.1467,3.15,,,,
1795.1,stage2_self_instruct,1,200,train,1.0642,,3.159766126902998e-05,0.14,6713,50.4
1795.1,stage2_self_instruct,1,200,val,1.142,3.13,,,,
1888.1,stage2_self_instruct,1,210,train,1.0725,,2.9999999999999997e-05,0.128,6176,50.4
1888.1,stage2_self_instruct,1,210,val,1.139,3.12,,,,
1927.1,stage3_tulu,0,0,train,1.9711,,1.1904761904761904e-06,0.0,0,50.4
1927.1,stage3_tulu,0,0,val,1.9859,7.29,,,,
3541.4,stage3_tulu,0,200,train,1.3432,,0.00023928571428571426,0.128,7248,50.4
3541.4,stage3_tulu,0,200,val,1.1529,3.17,,,,
5161.0,stage3_tulu,0,400,train,1.1064,,0.0002997818698249314,0.134,7081,50.4
5161.0,stage3_tulu,0,400,val,1.0671,2.91,,,,
