elapsed_s,stage,epoch,step,split,loss,ppl,lr,grad_norm,tokens_per_sec,gpu_mem_gb
47.3,stage1_scratch,0,0,train,1.8843,,0.0002999999999999999,0.0,0,17.9
47.3,stage1_scratch,0,0,val,1.8649,6.46,,,,
57.5,stage1_scratch,0,1,train,1.9346,,0.00023249999999999996,3.813,9160,44.8
57.5,stage1_scratch,0,1,val,1.5171,4.56,,,,
67.7,stage1_scratch,1,2,train,1.5225,,9.750000000000001e-05,2.448,5614,50.4
67.7,stage1_scratch,1,2,val,1.2474,3.48,,,,
80.3,stage1_scratch,2,3,train,1.3551,,2.9999999999999997e-05,0.79,4538,50.4
80.3,stage1_scratch,2,3,val,1.196,3.31,,,,
83.4,stage1_scratch,2,3,train,nan,,2.9999999999999997e-05,0.79,18457,50.4
83.4,stage1_scratch,2,3,val,1.196,3.31,,,,
99.6,stage2_self_instruct,0,0,train,2.1241,,4.9999999999999996e-05,0.0,0,50.4
99.6,stage2_self_instruct,0,0,val,2.0237,7.57,,,,
260.9,stage2_self_instruct,0,20,train,1.5221,,0.00029687452289754604,0.206,7697,50.4
260.9,stage2_self_instruct,0,20,val,1.3404,3.82,,,,
433.3,stage2_self_instruct,0,40,train,1.2843,,0.00028191342951089924,0.159,6652,50.4
433.3,stage2_self_instruct,0,40,val,1.2478,3.48,,,,
603.0,stage2_self_instruct,0,60,train,1.2146,,0.0002559489118922852,0.163,6761,50.4
603.0,stage2_self_instruct,0,60,val,1.1988,3.32,,,,
771.1,stage2_self_instruct,0,80,train,1.2117,,0.00022142464655971572,0.163,6828,50.4
771.1,stage2_self_instruct,0,80,val,1.1717,3.23,,,,
941.9,stage2_self_instruct,0,100,train,1.1884,,0.00018158991923973637,0.152,6710,50.4
941.9,stage2_self_instruct,0,100,val,1.1492,3.16,,,,
1116.0,stage2_self_instruct,1,120,train,1.0692,,0.00014019381509476297,0.162,6588,50.4
1116.0,stage2_self_instruct,1,120,val,1.143,3.14,,,,
1282.9,stage2_self_instruct,1,140,train,1.022,,0.00010113236982713865,0.144,6878,50.4
1282.9,stage2_self_instruct,1,140,val,1.1294,3.09,,,,
1454.2,stage2_self_instruct,1,160,train,0.9976,,6.808189038630033e-05,0.157,6692,50.4
1454.2,stage2_self_instruct,1,160,val,1.1208,3.07,,,,
1624.1,stage2_self_instruct,1,180,train,0.9921,,4.4152955667066594e-05,0.142,6750,50.4
1624.1,stage2_self_instruct,1,180,val,1.1149,3.05,,,,
