elapsed_s,stage,epoch,step,split,loss,ppl,lr,grad_norm,tokens_per_sec,gpu_mem_gb
1794.4,stage2_self_instruct,1,200,train,1.025,,3.159766126902998e-05,0.136,6731,50.4
1794.4,stage2_self_instruct,1,200,val,1.1107,3.04,,,,
1887.4,stage2_self_instruct,1,210,train,1.0342,,2.9999999999999997e-05,0.128,6174,50.4
1887.4,stage2_self_instruct,1,210,val,1.1075,3.03,,,,
1926.1,stage3_tulu,0,0,train,1.8921,,1.1904761904761904e-06,0.0,0,50.4
1926.1,stage3_tulu,0,0,val,1.9093,6.75,,,,
3533.3,stage3_tulu,0,200,train,1.3042,,0.00023928571428571426,0.126,7280,50.4
3533.3,stage3_tulu,0,200,val,1.1269,3.09,,,,
5144.3,stage3_tulu,0,400,train,1.0852,,0.0002997818698249314,0.139,7119,50.4
5144.3,stage3_tulu,0,400,val,1.0452,2.84,,,,
6760.9,stage3_tulu,0,600,train,1.0412,,0.0002987954609008953,0.124,7094,50.4
6760.9,stage3_tulu,0,600,val,1.0058,2.73,,,,
8369.6,stage3_tulu,0,800,train,1.0045,,0.00029701965899564704,0.1,7130,50.4
8369.6,stage3_tulu,0,800,val,0.9774,2.66,,,,
9977.9,stage3_tulu,0,1000,train,0.9667,,0.0002944649413372675,0.091,7130,50.4
9977.9,stage3_tulu,0,1000,val,0.9584,2.61,,,,
11590.2,stage3_tulu,0,1200,train,0.9522,,0.0002911463807553946,0.118,7116,50.4
11590.2,stage3_tulu,0,1200,val,0.9436,2.57,,,,
13203.7,stage3_tulu,0,1400,train,0.9522,,0.0002870835567515557,0.084,7108,50.4
13203.7,stage3_tulu,0,1400,val,0.9287,2.53,,,,
14815.7,stage3_tulu,0,1600,train,0.9231,,0.00028230043998014333,0.094,7114,50.4
14815.7,stage3_tulu,0,1600,val,0.9186,2.51,,,,
16419.4,stage3_tulu,0,1800,train,0.9114,,0.00027682525082159664,0.115,7151,50.4
16419.4,stage3_tulu,0,1800,val,0.9085,2.48,,,,
18021.8,stage3_tulu,0,2000,train,0.8973,,0.0002706902928822074,0.085,7157,50.4
18021.8,stage3_tulu,0,2000,val,0.9,2.46,,,,
19632.9,stage3_tulu,0,2200,train,0.9114,,0.00026393176240290027,0.087,7119,50.4
19632.9,stage3_tulu,0,2200,val,0.8901,2.44,,,,
21237.9,stage3_tulu,0,2400,train,0.882,,0.00025658953470147547,0.105,7145,50.4
21237.9,stage3_tulu,0,2400,val,0.8835,2.42,,,,
22846.4,stage3_tulu,0,2600,train,0.8704,,0.0002487069289083053,0.068,7130,50.4
22846.4,stage3_tulu,0,2600,val,0.8754,2.4,,,,
24447.6,stage3_tulu,0,2800,train,0.8773,,0.00024033045238354157,0.073,7165,50.4
24447.6,stage3_tulu,0,2800,val,0.8704,2.39,,,,
26051.6,stage3_tulu,0,3000,train,0.8577,,0.0002315095263237734,0.087,7149,50.4
26051.6,stage3_tulu,0,3000,val,0.8631,2.37,,,,
27664.4,stage3_tulu,0,3200,train,0.8977,,0.0002222961941770557,0.075,7112,50.4
27664.4,stage3_tulu,0,3200,val,0.8591,2.36,,,,
29269.2,stage3_tulu,0,3400,train,0.8639,,0.000212744814586658,0.07,7146,50.4
29269.2,stage3_tulu,0,3400,val,0.8532,2.35,,,,
30880.0,stage3_tulu,0,3600,train,0.8484,,0.00020291174067516604,0.078,7121,50.4
30880.0,stage3_tulu,0,3600,val,0.849,2.34,,,,
32482.7,stage3_tulu,0,3800,train,0.8655,,0.0001928549875611585,0.085,7155,50.4
32482.7,stage3_tulu,0,3800,val,0.8451,2.33,,,,
34092.7,stage3_tulu,0,4000,train,0.8366,,0.00018263389007011106,0.081,7123,50.4
34092.7,stage3_tulu,0,4000,val,0.8411,2.32,,,,
35704.2,stage3_tulu,0,4200,train,0.8564,,0.00017230875265903135,0.065,7116,50.4
35704.2,stage3_tulu,0,4200,val,0.8369,2.31,,,,
37305.4,stage3_tulu,1,4400,train,0.8176,,0.00016194049362027002,0.087,7165,50.4
37305.4,stage3_tulu,1,4400,val,0.8348,2.3,,,,
38917.3,stage3_tulu,1,4600,train,0.7949,,0.00015159028566370442,0.078,7114,50.4
38917.3,stage3_tulu,1,4600,val,0.8313,2.3,,,,
40524.4,stage3_tulu,1,4800,train,0.8186,,0.00014131919499785894,0.07,7136,50.4
40524.4,stage3_tulu,1,4800,val,0.8289,2.29,,,,
42133.1,stage3_tulu,1,5000,train,0.7973,,0.0001311878210393836,0.075,7129,50.4
42133.1,stage3_tulu,1,5000,val,0.8265,2.29,,,,
43748.6,stage3_tulu,1,5200,train,0.8363,,0.00012125593887660349,0.071,7092,50.4
43748.6,stage3_tulu,1,5200,val,0.8236,2.28,,,,
45312.3,stage3_tulu,1,5400,train,0.7999,,0.00011158214659660427,0.067,7335,50.4
45312.3,stage3_tulu,1,5400,val,0.8224,2.28,,,,
46860.7,stage3_tulu,1,5600,train,0.7909,,0.00010222351955662232,0.068,7405,50.4
46860.7,stage3_tulu,1,5600,val,0.8196,2.27,,,,
48434.1,stage3_tulu,1,5800,train,0.8014,,9.323527363953896e-05,0.075,7298,50.4
48434.1,stage3_tulu,1,5800,val,0.8182,2.27,,,,
50050.9,stage3_tulu,1,6000,train,0.8028,,8.467043948026933e-05,0.071,7096,50.4
50050.9,stage3_tulu,1,6000,val,0.8161,2.26,,,,
51676.4,stage3_tulu,1,6200,train,0.7993,,7.657954958511118e-05,0.07,7056,50.4
51676.4,stage3_tulu,1,6200,val,0.8134,2.26,,,,
53324.2,stage3_tulu,1,6400,train,0.7805,,6.90103401900473e-05,0.066,6962,50.4
53324.2,stage3_tulu,1,6400,val,0.8124,2.25,,,,
54974.2,stage3_tulu,1,6600,train,0.7832,,6.200746961703839e-05,0.075,6950,50.4
54974.2,stage3_tulu,1,6600,val,0.8108,2.25,,,,
56601.0,stage3_tulu,1,6800,train,0.7601,,5.5612254790002785e-05,0.069,7048,50.4
56601.0,stage3_tulu,1,6800,val,0.8092,2.25,,,,
58225.6,stage3_tulu,1,7000,train,0.7839,,4.9862427465039105e-05,0.066,7060,50.4
58225.6,stage3_tulu,1,7000,val,0.808,2.24,,,,
59860.3,stage3_tulu,1,7200,train,0.7805,,4.4791911613132196e-05,0.065,7017,50.4
59860.3,stage3_tulu,1,7200,val,0.8071,2.24,,,,
61497.6,stage3_tulu,1,7400,train,0.774,,4.0430623268784745e-05,0.061,7004,50.4
61497.6,stage3_tulu,1,7400,val,0.8057,2.24,,,,
63135.0,stage3_tulu,1,7600,train,0.7818,,3.68042940254671e-05,0.064,7003,50.4
63135.0,stage3_tulu,1,7600,val,0.8051,2.24,,,,
64762.4,stage3_tulu,1,7800,train,0.8004,,3.393431921926131e-05,0.065,7050,50.4
64762.4,stage3_tulu,1,7800,val,0.8042,2.23,,,,
66394.1,stage3_tulu,1,8000,train,0.78,,3.183763169641664e-05,0.082,7028,50.4
66394.1,stage3_tulu,1,8000,val,0.8038,2.23,,,,
68034.6,stage3_tulu,1,8200,train,0.7846,,3.0526601909586564e-05,0.062,6992,50.4
68034.6,stage3_tulu,1,8200,val,0.8033,2.23,,,,
69664.5,stage3_tulu,1,8400,train,0.7867,,3.0008964932180248e-05,0.065,7036,50.4
69664.5,stage3_tulu,1,8400,val,0.8027,2.23,,,,
69936.1,stage3_tulu,1,8430,train,0.7712,,2.9999999999999997e-05,0.077,6337,50.4
69936.1,stage3_tulu,1,8430,val,0.8026,2.23,,,,
